t,ax,ay,az,gx,gy,gz
4696,-0.00,-0.41,9.77,-0.05,-0.00,-0.00
4711,0.01,-0.39,9.84,-0.05,-0.00,-0.00
4726,-0.00,-0.40,9.82,-0.05,-0.00,0.00
4743,-0.01,-0.39,9.80,-0.05,-0.00,-0.00
4758,-0.04,-0.39,9.80,-0.05,-0.00,0.00
4773,-0.04,-0.39,9.81,-0.05,-0.00,0.00
4789,-0.05,-0.38,9.82,-0.05,-0.00,0.00
4804,-0.07,-0.38,9.83,-0.05,-0.00,0.00
4819,-0.04,-0.39,9.80,-0.05,-0.00,0.00
4835,-0.05,-0.38,9.80,-0.05,-0.00,0.00
4850,-0.05,-0.40,9.79,-0.05,-0.00,0.00
4866,-0.04,-0.39,9.79,-0.05,-0.00,0.00
4882,-0.06,-0.39,9.80,-0.05,-0.00,0.00
4897,-0.07,-0.41,9.76,-0.04,-0.01,0.00
4913,0.00,-0.36,9.78,-0.04,-0.01,0.00
4928,0.00,-0.37,9.78,-0.05,0.01,0.00
4943,-0.03,-0.39,9.77,-0.05,0.00,-0.00
4959,0.01,-0.35,9.82,-0.04,-0.01,0.00
4974,0.06,-0.36,9.83,-0.05,-0.00,-0.00
4989,-0.07,-0.38,9.77,-0.04,-0.02,0.00
5005,-0.01,-0.39,9.85,-0.03,-0.04,0.00
5020,0.06,-0.37,9.81,-0.04,-0.01,-0.00
5037,0.03,-0.38,9.79,-0.06,0.02,0.00
5052,-0.04,-0.44,9.82,-0.06,0.03,0.00
5067,-0.05,-0.42,9.78,-0.05,0.01,0.00
5083,0.02,-0.39,9.82,-0.05,0.00,0.00
5098,-0.02,-0.37,9.80,-0.05,0.01,0.00
5113,-0.06,-0.40,9.81,-0.05,0.01,0.00
5129,-0.03,-0.38,9.78,-0.05,0.00,0.00
5144,-0.04,-0.39,9.80,-0.05,0.00,0.00
5159,-0.06,-0.41,9.78,-0.05,0.00,0.00
5175,-0.06,-0.40,9.80,-0.04,-0.01,-0.00
5191,-0.02,-0.38,9.79,-0.04,-0.01,-0.00
5207,0.01,-0.41,9.80,-0.04,-0.01,0.00
5222,0.04,-0.38,9.80,-0.05,0.01,0.00
5237,0.00,-0.40,9.81,-0.06,0.02,0.00
5253,-0.05,-0.40,9.77,-0.05,0.00,-0.00
5268,0.00,-0.36,9.80,-0.04,-0.01,-0.00
5283,0.00,-0.38,9.80,-0.05,0.00,-0.00
5299,-0.03,-0.39,9.78,-0.05,-0.00,-0.00
5314,-0.02,-0.38,9.79,-0.05,-0.00,-0.00
5330,-0.02,-0.37,9.79,-0.05,0.00,-0.00
5346,-0.04,-0.40,9.80,-0.05,0.00,-0.00
5361,0.00,-0.40,9.81,-0.04,-0.00,-0.01
5377,0.03,-0.43,9.79,-0.05,0.01,-0.02
5392,0.10,-0.34,9.83,-0.06,0.02,-0.04
5407,0.08,-0.38,9.77,-0.05,0.01,-0.04
5423,-0.11,-0.48,9.78,-0.04,-0.01,-0.04
5438,-0.15,-0.38,9.78,-0.04,-0.01,-0.02
5454,-0.01,-0.33,9.80,-0.05,0.00,0.01
