t,ax,ay,az,gx,gy,gz
5235,-0.04,-0.27,9.80,-0.05,-0.00,0.00
5251,-0.04,-0.26,9.81,-0.05,-0.00,0.00
5266,-0.03,-0.25,9.79,-0.05,-0.00,0.00
5281,-0.02,-0.25,9.79,-0.05,-0.00,0.00
5298,-0.04,-0.25,9.82,-0.05,-0.00,0.00
5313,-0.03,-0.24,9.81,-0.05,-0.00,0.00
5328,-0.02,-0.25,9.82,-0.05,-0.00,0.00
5344,-0.02,-0.26,9.81,-0.05,-0.00,-0.00
5359,-0.02,-0.25,9.79,-0.05,-0.00,-0.00
5374,-0.01,-0.26,9.81,-0.05,0.00,0.00
5390,0.01,-0.25,9.82,-0.05,-0.00,-0.00
5405,-0.02,-0.26,9.81,-0.05,-0.00,-0.00
5421,-0.05,-0.27,9.83,-0.05,-0.00,-0.00
5437,-0.02,-0.24,9.79,-0.05,-0.00,-0.00
5452,-0.04,-0.26,9.80,-0.05,-0.00,-0.00
5468,-0.01,-0.27,9.80,-0.05,-0.00,0.00
5483,-0.03,-0.26,9.81,-0.05,-0.00,0.00
5498,-0.04,-0.23,9.79,-0.05,-0.00,0.00
5514,-0.02,-0.23,9.81,-0.05,-0.00,-0.00
5529,-0.03,-0.23,9.81,-0.05,-0.00,0.00
5544,-0.02,-0.24,9.77,-0.05,-0.00,0.00
5560,-0.04,-0.26,9.79,-0.05,-0.00,-0.00
5576,-0.05,-0.27,9.79,-0.05,0.00,0.00
5592,-0.05,-0.25,9.80,-0.05,-0.00,0.00
5607,-0.02,-0.25,9.81,-0.05,-0.00,0.00
5622,-0.02,-0.27,9.80,-0.05,-0.00,0.00
5638,0.00,-0.25,9.81,-0.05,-0.00,-0.00
5653,-0.00,-0.26,9.80,-0.05,-0.00,0.00
5668,-0.01,-0.26,9.79,-0.05,0.00,-0.00
5684,-0.01,-0.24,9.80,-0.05,-0.00,-0.00
5699,-0.02,-0.24,9.80,-0.05,0.00,0.00
